Country|SourceCustomerType|SourceCustomerName|SourceCustomerCode|SourceCustomerIsDirect|SourceCustomerDiageoSAPCode|WarehouseName|WarehouseCode|OutletCode|OutletDiageoEdgeCode|OutletName|OutletAddress|City|Region|LocalSegment1|LocalSegment2|LocalSegment3|LocalSegment4|OutletChannel|OutletStatus|ProductCode|ProductDiageoSAPCode|ProductName|ProductVolume|PackagingConfiguration|PackType|Date|Stock Type|StockQuantity|UnitOfMeasure|VolumeBottle|VolumeActualCase|VolumeLitre|VolumeEquivalentUnits|TotalAmount|CurrencyCode
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|13789|""|CAPTAIN MORGAN WHITE 375|""|""|""|2026-02-28|OnHand|187|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|22640|""|SILENT SAM 375|""|""|""|2026-02-28|OnHand|253|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|22640|""|SILENT SAM 375|""|""|""|2026-02-28|OnOrder|156|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|32425|""|TANQUERAY LONDON DRY GIN 375|""|""|""|2026-02-28|OnHand|239|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|34124|""|RON CARIOCA WHITE 1750|""|""|""|2026-02-28|OnHand|76|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|38505|""|SMIRNOFF 1750|""|""|""|2026-02-28|OnHand|7223|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|38505|""|SMIRNOFF 1750|""|""|""|2026-02-28|OnOrder|3200|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|68627|""|O'DARBY IRISH CREAM 750|""|""|""|2026-02-28|OnOrder|60|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|74393|""|BAILEYS ORIGINAL IRISH CREAM 375|""|""|""|2026-02-28|OnHand|1597|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|80929|""|J & B RARE 1000|""|""|""|2026-02-28|OnHand|46|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|81018|""|JOHNNIE WALKER BLACK LABEL 12 YR 1000|""|""|""|2026-02-28|OnHand|325|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|81026|""|JOHNNIE WALKER RED LABEL 1000|""|""|""|2026-02-28|OnHand|104|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|81141|""|GORDON'S LONDON DRY 1000|""|""|""|2026-02-28|OnHand|58|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|81166|""|TANQUERAY LONDON DRY GIN 1000|""|""|""|2026-02-28|OnHand|200|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|98814|""|GRAND OLD PARR DELUXE 12 YR OLD 1000|""|""|""|2026-02-28|OnHand|1|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|100307|""|CAPTAIN MORGAN COCKTAIL COLLECTION 4260|""|""|""|2026-02-28|OnHand|1277|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|100307|""|CAPTAIN MORGAN COCKTAIL COLLECTION 4260|""|""|""|2026-02-28|OnOrder|520|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|100308|""|DON JULIO ROSADO 750|""|""|""|2026-02-28|OnHand|253|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|100309|""|SMIRNOFF ICE LEMON TEA 6X355ML 2130|""|""|""|2026-02-28|OnHand|3931|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|100310|""|SMIRNOFF ICE LEMON TEA 473ML 473|""|""|""|2026-02-28|OnHand|400|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|100311|""|SMIRNOFF ICE PEACH TEA 6X355ML 2130|""|""|""|2026-02-28|OnHand|1965|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|100314|""|SMIRNOFF VODKA & SODA PARTY PACK 4260|""|""|""|2026-02-28|OnHand|578|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|100315|""|SMIRNOFF VODKA & SODA CREAMSICLE BLAST 2130|""|""|""|2026-02-28|OnHand|744|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|100315|""|SMIRNOFF VODKA & SODA CREAMSICLE BLAST 2130|""|""|""|2026-02-28|OnOrder|192|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|101424|""|CROWN ROYAL BLACKBERRY 750|""|""|""|2026-02-28|OnHand|583|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|101425|""|CROWN ROYAL SINGLE MALT 750|""|""|""|2026-02-28|OnHand|37|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|102746|""|JOHNNIE WALKER BLACK TRIPLE CASK EDITION 1000|""|""|""|2026-02-28|OnHand|283|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|103203|""|SILENT SAM 750 PET 750|""|""|""|2026-02-28|OnHand|562|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|103203|""|SILENT SAM 750 PET 750|""|""|""|2026-02-28|OnOrder|420|""|""|""|""|""||CAD
